id,skill,skill_alias
1,.Net framework 2.0,DotNet framework 2.0; .Net framework2.0; .NET2.0; .NET 2.0; DotNet Frame Work 2.0;
2,.Net framework 3.0,DotNet framework 3.0; .Net framework3.0; .NET3.0; .NET 3.0; DotNet Frame Work 3.0;
3,.Net framework 3.5,DotNet framework 3.5; .Net framework3.5; .NET3.5; .NET 3.5; DotNet Frame Work 3.5;
4,.NET Framework,.Net Frame Work; .NetFramework;
5,.Net,DotNet;
6,2D Animator pro, 
7,3Com, 
8,3D studio max,3D-Studio Max; 3D Studio; 3D-Studio;
9,Ab Initio GDE,AbInitioGDE; AbInitio/GDE; AbInitio-GDE;
10,Ab Initio,AbInitio; Ab-Initio;
11,ACCESS,MS ACCESS;
12,Accounts Manager,Account Manager;
13,ACMS,Application Control Management System;
14,Acrobat Reader,Adobe Acrobat;
15,Acronis, 
16,Action script,ActionScript; Action Scripts;
17,ACTIVE DIRECTORY,MS-Active Directory; ADAM; Active Directory Application Mode; AD;
18,ACTIVE X,ActiveX; MSActiveX; MicrosoftActiveX; Acitve-X;
19,Actuate, 
20,ADA, 
21,ADABAS, 
22,ADO,ActiveX Data Objects; ActiveX Data Object;
23,ADO.NET,ActiveX Data Objects.NET; ActiveX Data Object.NET;
24,Adobe After Effects,AfterEffects;
25,Adobe Premier, 
26,Agile, 
27,Aix Admin,Aix Administration; Aix Administrator; AixAdmin;
28,AIX,AixServer; AixServers; AIX5.2; AIX5.3; AIX/6000;
29,AJAX,Ajaxframework; Ajax.net;
30,Animation,3DAnimation; 2DAnimation;
31,ANT, 
32,AOL,Application Object Library;
33,Apache,ApacheHTTPServer; Sun Java System Web Server; Java Web Server; Apache Axis; ApacheWebserver; Java WebServer;
34,API,Application Programming Interface; APIs;
35,Applet,Applets; JavaApplets; JavaApplet; Java Applets;
36,Application Designer,ApplicationDesigner;
37,Application Engine,ApplicationEngine;
38,Application Messages,ApplicationMessages; Application Message; ApplicationMessage;
39,Application Programming, 
40,ArcGIS Desktop,ArcGISDesktop; Arc GIS Desktop; Arc Geographic Information System Desktop;
41,ArcView,Arc View;
42,Ariba,Ariba Buyer;
43,Artificial Intelligence,ArtificialIntelligence; Artificial Inteligence;
44,AS/400,AS-400; AS400; AS 400;
45,Ascential DataStage,Ascential Data Stage;IBM/Ascential DataStage; DataStage Ascential; DataStageAscential; Ascential/DataStage; DataStage/Ascential;
46,ASCP,Advanced Supply Chain Planning;
47,ASM,automatic storage management;
48,ASP,Active Server Pages; Active Server Page; Active Serverpages; Active Serverpage; ActiveServerpage; ActiveServerpages;
49,ASP.NET 3.0,ASP.NET3.0; Active Server Pages.NET 3.0;
50,ASP.NET 3.5,ASP.NET3.5; Active Server Pages.NET 3.5;
51,ASP.NET,Active Server Pages.NET;
52,ASSEMBLER,Asembler;
53,Assembly,ARM9;8051;
54,ATG Dynamo,ATGDynamo; ATG-Dynamo; Dynamo Application Server;ATG/Dynamo;
55,ATM, 
56,AutoCAD,Auto CAD; Computer Aided Design; Computer Aided Designs;
57,Autodesk,Auto Desk;
58,Automated Testing,Automated Test; AutomatedTesting; AutomatedTest;
59,Autosys,Unicenter AutoSys;
60,AvisMap, 
61,AWK, 
62,AWT,Abstract Window Toolkit; JAWT;
63,BAAN, 
64,Base SAS,SAS Base; SASBase;
65,Basic,GW Basic; GWBasic;
66,BEA NetUI, 
67,beans,javabeans; entreprise javabeans; ejb; bean; ejbs;
68,BIRT, 
69,BizTalk,Biz Talk; Biz Talk Server; Biztalk Server;
70,Black Box,Blackbox;
71,Blackberry,Black berry;
72,BOM,Bills of Materials; Bills of Material;
73,Boot Loader,BootLoader;
74,Bourne Shell,sh; BourneShell; Bourne-Shell;
75,Brainbench,Brain Bench;
76,BREW, 
77,Brio 6.5,Brio6.5;
78,Brio Designer,BrioDesigner;
79,Brio EIS,BrioEIS; Brio Executive Interface System;
80,Brio Enterprise Suite,Brio EnterpriseSuite;
81,Brio intelligence,BrioIntelligence;
82,Brio Performance Suite,Brio PerformanceSuite;
83,Brio Reports,BrioReports;
84,Brio, 
85,Bugzero,Bug Zero;
86,Bugzilla, 
87,Business Analyst,BusinessAnalyst;
88,Business Development Manager, 
89,Business Intelligence,BusinessIntelligence; BI;
90,Business Objects 6.5,BusinessObjects6.5; Business Objects6.5;
91,Business Objects Admin,Business Objects Administrator; Business Objects Administration; BO Admin; BO Administrator; BO Administration;
92,Business Objects,Business Object; BO; BusinessObjects; BusinessObject;
93,C Shell,csh; Cshell; C-Shell;
94,C, 
95,C#,C Sharp; C# 2.0; C#.NET; C #; C#3.0; C#2.0; C# 3.0; Csharp;
96,C++,C ++; Cpp;
97,CA-7,CA/7; CA7; CA 7;
98,Calypso, 
99,Oracle Portal,OraclePortal;
100,CCNA,Cisco Certified Network Administrator;
101,CDMA, 
102,CGI,Common Gateway Interface;
103,Change Management,ChangeManagement;
104,CICS, 
105,Cisco Routers,Cisco Router;
106,Cisco, 
107,Citrix, 
108,ClearCase,Clear Case; Rational-Clearcase; RationalClearcase;
109,ClearQuest,Clear Quest; RationalClearQuest;
110,Clipper, 
111,CLIST,C-List;
112,CMSynergy, 
113,Co>Operating System,Co>Operating Systems;
114,COBIT, 
115,COBOL,COBOLII;COBOL2; COBOL74; COBOL-74; COBOL-85; COBOL85;
116,Cognos,Cognos8; Cognos8.1; IBMCognos;
117,ColdFusion,Cold Fusion;
118,Component Object Model,Component ObjectModel;
119,COM+,Component Object Model+;
120,Compiler, 
121,Configuration Management,ConfigurationManagement;
122,Content Writer,Content Writing;
123,CORBA,Common Object Request Broker Architecture;
124,CorelDraw,Corel Draw;
125,Crystal Enterprise,CrystalEnterprise;
126,Crystal Reports 10.0,Crystal Reports10.0;
127,Crystal Reports 11,Crystal Reports11.0; CrystalReports 11.0; Crystal Reports 11.0; Crystal Reports XI;
128,Crystal Reports 9.0,Crystal Reports9.0; CrystalReports 9.0;
129,Crystal Reports,CrystalReports; Crystal Report; CystalReport;
130,CSS,Cascading Style Sheet; Cascaded Style Sheet; CSS2.0; CSS3.0; Cascading Style Sheets;
131,Cursors,Cursor;
132,CVS,Control Version Source;
133,CVSNT, 
134,DAO,Data Access Objects; Data Access Object; DataAccess Objects; DataAccess Object;
135,Data Analyst,DataAnalyst; Data Analayst;
136,Data Architect,DataArchitect;
137,Data cleansing, 
138,Data Guard,Dataguard;
139,Data Loader, 
140,Data Modeling,Data Modelling; Data Modeler; Data Modeller; DataModelling; DataModeller; DataModeler;
141,Data pump,Datapump;
142,Data Warehouse Developer,Data Ware House Developer; Data Warehouse Consultant;
143,Data Warehousing,Data Ware housing; Datawarehouse; Data Warehouse;
144,Database Modeling, 
145,Datastage Designer,Data Stage Designer;
146,Datastage Director,Data Stage Director;
147,Datastage Manager,Data Stage Manager;
148,DB Packages,Dbpackages;
149,DB2 8.2, 
150,db2 dba,db2 database administrator; db2 certified dba; DB2 UDB 7.2 administration; DB2 UDB dba; DB2 UDB V9 Database administrator; DB2 UDB Database Administrator; db2/udb dba; db2dba;
151,DB2 relational connect,DB2 relationalconnect; DB2 connect;
152,DB2 Replication Center,DB2 ReplicationCenter; DB2Replication Center;
153,DB2 SQL replication,DB2 SQLreplication;DB2 DPROP;
154,db2 udb,db2udb; DB2 UDB v 8.1.16; DB2 UDB 9.1; DB2 UDB ESE; DB2 UDB EEE; db2/udb;
155,DB2,DB-2; DB 2; DB/2; udb db2;
156,DB2ADVIS,DB2 ADVIS;
157,DB2LOOK,DB2 LOOK;
158,DB2MOVE,DB2 MOVE;
159,DBA,Database Administrator; Database Administration; Data base Administrator; Data base Administration;
160,DBArtisan,DB Artisan;
161,Dbase, 
162,DBLINK, 
163,DCOM,Distributed Component Object Model;
164,Delphi,BorlandDelphi;
165,Designer 2000,Designer2000;
166,Desktop Client,Desktopclient;
167,Developer 2000,Developer2000;
168,Device Driver,Device Drivers; DeviceDriver; DeviceDrivers;
169,DHTML,Dynamic Hypertext Markup Language; Dynamic Hyper text Markup Language; Dynamic HTML; DynamicHTML;
170,Discoverer PLUS,Oracle Discoverer PLUS;
171,DMExpress, 
172,DNS, 
173,Documentum 5.2.5, 
174,Documentum 5.3, 
175,Documentum Administrator,DocumentumAdministrator;
176,Documentum Content Server, 
177,Documentum, 
178,DOM,Document Object Model; Document ObjectModel;
179,Domino, 
180,DR,Disaster Recovery; disasterrecovery;
181,Dreamweaver,Dream weaver; DreamWeaverMX; Dream WeaverMX;
182,DTS,DTS Packages; Data Transformation services; Data Transformation service;
183,EAI,Enterprise Applications Integration; Enterprise Application Integeration;
184,EAR,Java Enterprise Archive; Java EnterpriseArchive;
185,ECC,ERP Central Component; Enterprise Resource Planning Central Component;
186,Eclipse,Eclipse2.0/3.0; Eclipse2.0; Eclipse3.0;
187,EDI,Electronic Data Interchange;
188,EIM,Enterprise Intergration Manager;
189,EIS,Executive Interface System;
190,EJB 2.0,EJB2.0; Enterprise JavaBeans 2.0; Javabeans 2.0;
191,Embedded, 
192,ER/Studio,ERStudio; ER Studio;
193,ERP,Enterprise Resource Planning;
194,ERWIN,ERWIN 3.x; Erwin tool; ERWIN 3.5.2;
195,Essbase,Ess base;
196,Peoplesoft SOA,People Soft SOA; Peoplesoft Service Oriented Architecture; People soft Service Oritented Architecture;
197,Ethernet, 
198,ETL Developer,ETL Consultant; Extraction Loading and Transformation Consultant;
199,ETL,Extraction Loading and Transformation; Extraction Loading Transformation; Extract Transform and Load; Extract Transform Load;
200,Excel,MSExcel;
201,Exchange Server,ExchangeServer; Exchange Server2003; Exchange Server2007;
202,FDW,Financials Datawarehouse; Financial Datawarehouse; Financials Data Warehouse; Financial Data Warehouse;
203,FILE-AID,Fileaid;
